180418/0591/165;Поставка ЗИП для КРУЗА-П 0,4 кВ на пятилетний период эксплуатации;"Акционерное общество ""Атомстройэкспорт""";59 294 978,07;15.05.2018;Опубликована;http://www.zakupki.rosatom.ru/1804180591165
180517/0643/056;Поставка компьютеров в сборе.;"Общество с ограниченной ответственностью ""Аргон""";137 742,00;23.05.2018;Опубликована;http://www.zakupki.rosatom.ru/1805170643056
180515/6087/121;Изготовление и поставка оборудования, предназначенного для энергоблока №2 Ленинградской АЭС-2 (Соглашение о замене стороны от 04.05.2016 № 952.Р.5 по договору от 23.12.2011 № 2-ЛЕН2-2-199/80-274).;"Акционерное общество ""Русатом Автоматизированные системы управления""";84 607 390,00;31.05.2018;Опубликована;http://www.zakupki.rosatom.ru/1805156087121
180515/6087/119;Изготовление и поставка оборудования КИП (контрольно-измерительные приборы) в части измерения расхода для энергоблока №1 Ленинградской АЭС-2 (Соглашение о замене стороны от 30.05.2016 № 072.Р.37 по договору от 30.05.2016 № 050-15/152).;"Акционерное общество ""Русатом Автоматизированные системы управления""";4 987 965,46;31.05.2018;Опубликована;http://www.zakupki.rosatom.ru/1805156087119
180517/1662/090;Право заключения договора на Поставка упаковки с логотипом для продукции собственного приготовления;"Общество с ограниченной ответственностью ""Белоярская АЭС - Авто""";306 066,67;23.05.2018;Опубликована;http://www.zakupki.rosatom.ru/1805171662090
180517/0712/072;Поставка подарочных сертификатов;"Акционерное общество ""НПК ""Химпроминжиниринг""";134 900,00;23.05.2018;Опубликована;http://www.zakupki.rosatom.ru/1805170712072
180517/0536/755;Право заключения договора на поставку товара по лоту №12375/ 165 Руп1-18 «Поставка рециркуляционных установок для сооружения энергоблока №1 АЭС «Руппур»;"Акционерное общество Инжиниринговая компания ""АСЭ""";55 900 216,34;29.05.2018;Опубликована;http://www.zakupki.rosatom.ru/1805170536755
180517/0536/754;Право заключения договора на поставку товара по лоту №12406/419 К2-1/П-18 «Поставка бокса перезарядного для сооружения энергоблока № 1 Курской АЭС-2»;"Акционерное общество Инжиниринговая компания ""АСЭ""";16 881 884,05;29.05.2018;Опубликована;http://www.zakupki.rosatom.ru/1805170536754
180517/0643/055;Поставка стеллажных систем согласно заявке.;"Общество с ограниченной ответственностью ""Аргон""";258 184,00;23.05.2018;Опубликована;http://www.zakupki.rosatom.ru/1805170643055
180517/0536/751;Право заключения договора на лот № 12406/424 К2-1/З-18 «Поставка щитового оборудования и ПКУ для сооружения энергоблока №1 Курской АЭС-2»;"Акционерное общество Инжиниринговая компания ""АСЭ""";346 248,81;23.05.2018;Опубликована;http://www.zakupki.rosatom.ru/1805170536751
180517/0682/067;Право заключения договоров на Поставка легкового автомобиля Kia Optima или аналога (Обнинск), Поставка пассажирского микроавтобуса Ситроен Джампер (маршрутное такси) или аналога (Обнинск), Поставка автомобиля (фургон) для перевозки РФП Ситроен Джампер (цельнометаллический фургон) или аналога  (Обнинск);"Акционерное общество «Ордена Трудового Красного Знамени научно-исследовательский физико-химический институт имени Л.Я. Карпова»;";5 388 778,67;28.05.2018;Опубликована;http://www.zakupki.rosatom.ru/1805170682067
180514/0479/410;Поставка литых заготовок;"Федеральное государственное унитарное предприятие  ""Приборостроительный завод""";340 809,96;31.05.2018;Опубликована;http://www.zakupki.rosatom.ru/1805140479410
180514/0481/082;Поставка программного обеспечения;"Федеральное государственное унитарное предприятие Производственное объединение ""Север""";384 800,00;10.05.2018;Опубликована;http://www.zakupki.rosatom.ru/1805140481082
180511/6320/074;Поставка продукции: стерилизаторы воды;"Общество с ограниченной ответственностью ""Научно-производственное предприятие ""Инжект""";153 105,00;17.05.2018;Опубликована;http://www.zakupki.rosatom.ru/1805116320074
180514/0670/163;Право заключения договора на Поставка ламп и комплектующих изделий для светильников в соответствии со спецификацией;"Филиал ОАО ""Концерн Росэнергоатом"" ""Белоярская атомная станция""";7 449 211,68;24.05.2018;Опубликована;http://www.zakupki.rosatom.ru/1805140670163
180511/2426/039;Право заключения договора на Поставка плодоовощной продукции и грибов на второе полугодие 2018 года;"Общество с ограниченной ответственностью ""Волгодонская АЭС – Сервис""";1 973 083,85;изменена;Опубликована;http://www.zakupki.rosatom.ru/1805112426039
180511/0606/064;"Поставка расходных материалов и мерительного инструмента для Волгодонского филиала АО ""АТМ""";"Акционерное общество ""Атомтрубопроводмонтаж""";977 075,00;31.05.2018;Опубликована;http://www.zakupki.rosatom.ru/1805110606064
180511/0536/711;Право заключения договора на поставку товара по лоту № 12375/744 Блр1/ОКП-18 «Поставка агрометеорологического комплекса для открытой установки оборудования линий 330 кВ (00UAM) для сооружения энергоблока № 1 Белорусской АЭС»;"Акционерное общество Инжиниринговая компания ""АСЭ""";243 000,00;22.05.2018;Опубликована;http://www.zakupki.rosatom.ru/1805110536711
180511/3227/068;Право заключения договора на Поставка насосов газоохлаждения ТГ-3,4;"Акционерное общество ""Русатом Сервис""";9 636 191,79;24.05.2018;Опубликована;http://www.zakupki.rosatom.ru/1805113227068
180511/0595/105;Поставка канцелярских товаров и хозяйственных принадлежностей;"Акционерное общество ""ТВЭЛ-СТРОЙ""";136 800,00;21.05.2018;Опубликована;http://www.zakupki.rosatom.ru/1805110595105
